,value
12856,"At this juncture, it may be particularly warranted to stress that monetary policy cannot by itself generate lasting and sustainable growth and employment in the euro area."
12859,"From my perspective, these press conferences have been a success."
12860,"Moreover, structural reforms in the labour and product markets are needed to allow a better allocation and utilisation of capital and human resources, and to enhance the euro area's growth potential."
12861,Trust and confidence are also crucial in the context of structural reform.
12863,"It is a major challenge to convince the public at large that everybody would benefit – in terms of growth, more and better jobs, and higher incomes – if the reforms needed were indeed implemented.
"
12864,"All countries would benefit from the strengthening of the sustainability of their public finances, especially in the expected upward phase of the cycle, by eliminating imbalances over the coming years and avoiding or correcting as soon as possible excessive deficits."
12865,"We are now at your disposal for questions.
"
12866,This would underpin the ongoing economic upswing by boosting confidence in sound public finances and by improving the prospects for future economic growth.
12867,"Against this background, the potential risk for second-round effects via wages needs to be monitored closely."
12868,Maintaining the existing institutional framework and implementing it consistently is essential to safeguard the soundness of public finances and the macroeconomic environment.
12869,"This may reflect an increased risk aversion of households and firms, given the stock market losses they experienced between 2000 and the spring of 2003."
12870,"In the coming years, important challenges for the consolidation of public finances will have to be faced."
12871,It considers the credibility of the 3% deficit limit essential to anchoring expectations of fiscal discipline.
12872,"As regards fiscal policies, forthcoming budgets and stability programmes should send strong and confidence-building signals, namely that sound public finances and growth-friendly structural adjustments in public finances are being pursued."
12874,"To this end, we strongly support the Commission in its determination to promote the renewed Lisbon Strategy and we encourage national governments to show their determination in this regard by implementing structural reforms in Europe."
12875,"In particular, several countries do not plan to pursue an appropriately ambitious adjustment path and are not targeting close-to-balance or in-surplus budgetary positions by the end of the programme horizon."
12878,"A determined approach in addressing these challenges and successful communication that convinces the public of the benefits of the reforms hold the key to both improving the economic outlook in the short run and sustaining the prosperity of European citizens in the longer term.
"
12879,"We are now at your disposal for questions.
"
12880,"The Community Lisbon Programme will be complemented by the introduction of national action plans for growth and jobs, which the Member States will present this autumn."
12881,It is essential that forthcoming budgets reflect the need for fiscal consolidation that both progresses at the appropriate pace and is embedded in a well-designed and comprehensive reform strategy.
12882,"This would also help to facilitate the necessary adjustment to the higher level of oil prices by further increasing energy efficiency and energy savings, while avoiding distortionary measures that hamper the adjustment process. 
"
12883,"As regards fiscal policies, euro area countries are now finalising their 2006 budgets and stability programmes."
12886,"On the labour demand side, there is a need to promote wage flexibility and address labour market rigidities."
12889,"The Governing Council considers that more determined progress is required towards sound public finances in a number of countries, that concrete and credible measures should be implemented swiftly as part of a medium-term-oriented strategy, and that it is vital to consolidate confidence in the revised Stability and Growth Pact by ensuring the sustainability of public finances in the euro area.
"
12891,"In this respect, the further enlargement of the euro area on 1 January 2007 with the entry of Slovenia will be a new historical landmark."
12892,It is also crucial that comprehensive reform programmes strengthen economic incentives and enhance the sustainability of social security systems.
12893,Fiscal consolidation is likely to be most successful when coupled with comprehensive structural reforms.
12894,It is important that commitments under the revised Stability and Growth Pact are met in all euro area countries.
12895,"In addition, given the ongoing marked dynamism of monetary and credit growth in an environment of ample liquidity, a cross-check of the outcome of the economic analysis with that of the monetary analysis supports the assessment that upside risks to price stability prevail over the medium to long term."
12896,"As regards fiscal policy, almost all euro area countries have submitted their updated stability programmes."
12897,"Therefore, looking ahead, acting in a firm and timely manner to ensure price stability in the medium term remains warranted.
"
12898,"To sum up, in assessing price trends it is important to look through any short-term volatility in inflation rates."
12899,This will support the solid anchoring of medium to longer-term inflation expectations in the euro area at levels consistent with price stability.
12900,"Moreover, all countries should avoid fiscal policies that feed macroeconomic imbalances."
12901,"Taking this perspective, there are several indications that higher short-term interest rates are now influencing monetary dynamics, although they have not, as yet, significantly dampened the overall strength of the underlying rate of monetary and credit expansion."
12902,"Given the vigorous monetary and credit growth in an environment of already ample liquidity, a cross-check of the outcome of the economic analysis with that of the monetary analysis supports the assessment that upside risks to price stability prevail over the medium to longer term."
12903,The monetary data for July may already have been partly influenced by such portfolio considerations and this could possibly apply even more to the August data to be released later in September.
12904,"As regards the financial markets, we will continue to pay great attention to developments over the period to come.
"
12905,"By acting in a firm and timely manner on the basis of our assessment, we will ensure that risks to price stability over the medium term do not materialise and that medium and long-term inflation expectations remain firmly anchored in line with price stability, which is all the more important in the current context."
12906,"The annual growth rate of M3 in October, at 12.3%, is likely to have been influenced by a number of temporary factors, such as the flattening of the yield curve, the financial market turmoil and specific transactions associated with the restructuring of certain banking groups."
12907,"Further data and analysis will be required in order to obtain a more complete picture of the impact of the financial market developments on banks’ balance sheets, financing conditions and money and credit growth.
"
12908,The Governing Council remains committed to preventing second-round effects and the materialisation of upside risks to price stability over the medium term.
12909,"Annual M3 growth remained very vigorous at 11.5% in January, supported by the continued strong growth of MFI loans to the private sector."
12910,"Overall, bank loans to the domestic private sector have grown at around 11% on an annual basis for the past two years.
"
12911,"While the impact of the flat yield curve and other temporary factors suggest that annual M3 growth currently overstates the underlying pace of monetary expansion, nonetheless, even after taking such effects into account, a broad-based assessment of the latest data confirms that the underlying rate of money and credit growth remains strong.
"
12912,"In the Governing Council’s view, at the policy-relevant medium-term horizon risks to the outlook for prices remain clearly on the upside and have increased further These risks include notably the possibility of further increases in energy and food prices, as well as of increases in administered prices and indirect taxes beyond those foreseen thus far."
12913,"The current structure of yields has triggered substitution both within and into the broad monetary aggregate M3, leading to a pronounced decline in annual M1 growth and very rapid increases in time deposits."
12914,Such effects and other temporary factors must be taken into account in assessing monetary developments.
12915,"Over recent quarters, these risks appear to have become manifest as inflation has trended upwards.
"
12916,"In so doing, it supports sustainable growth and employment and contributes to financial stability."
12917,"At this juncture, it is therefore crucial that all parties, including public authorities, price-setters and social partners, fully live up to their responsibilities."
12918,"The latest available data, namely up to the end of October, reveal a continued moderation of the growth rate of loans to the non-financial private sector."
12919,"Turning to the evolution of bank loans, the tightening of financing conditions resulting from the intensification of the financial tensions has contributed to a slowdown in the flow of monetary financial institution (MFI) loans to the non-financial private sector in recent months."
12920,"It is also confirmed by a cross-check of the outcome of the economic analysis with that of the monetary analysis, against the background of a further deceleration in monetary and credit growth in the euro area."
12921,"Still, more data and analysis are needed to firmly assess the outlook for credit in the period ahead. 
"
12922,"Regarding fiscal policies, it is necessary that countries’ commitments to a path of consolidation in order to return to sound fiscal positions are credible, respecting fully the provisions of the Stability and Growth Pact."
12923,"Interest rates on short-term and floating rate bank loans to households and non-financial corporations have declined significantly over recent months, indicating that the transmission of monetary policy impulses to the economy continues."
12924,"To sum up, the current key ECB interest rates are appropriate taking into account our decisions of early May, including the enhanced credit support measures, and all the information and analyses which have become available since then."
12925,"A cross-check of the outcome of the economic analysis with that of the monetary analysis corroborates the assessment of low inflationary pressure, as money and credit indicators continue to be weak."
12926,"Available indicators of inflation expectations over the medium to longer term remain firmly anchored in line with the Governing Council’s aim of keeping inflation rates below, but close to, 2% over the medium term."
12927,"The decline in loans to non-financial corporations continues to reflect mainly a strong net redemption of loans with a shorter maturity, while lending and borrowing at longer maturities remained positive."
12928,"As regards medium to longer-term inflation expectations, they remain firmly anchored in line with the Governing Council’s aim of keeping inflation rates below, but close to, 2% over the medium term."
12929,"Hence, with all the measures we have taken, monetary policy has been supporting the availability of liquidity and the recovery of the euro area economy."
12930,"The current constellation of interest rates also continues to trigger shifts of funds within M3, as the narrow spread between the rates on different short-term deposits reduces the opportunity costs of holding the most liquid assets contained in M1.
"
12931,"However, some of the factors supporting the growth in real GDP are of a temporary nature."
12932,A cross-check of the outcome of the economic analysis with that of the monetary analysis confirms the assessment of low inflationary pressure over the medium term.
12933,"At the same time, the cost of financing for enterprises has declined and the sector as a whole has continued to make extensive use of market-based financing as a substitute for bank financing.
"
12934,"In a number of euro area countries, fiscal consolidation will start this year and in all others corrective measures will need to be in place by 2011 at the latest."
12935,"To sum up, the current key ECB interest rates remain appropriate."
12936,"At 10.7%, annual M1 growth is still very strong. 
"
12937,"In this respect, we welcome the decision announced by the European Council to publish, with the consent of the banks involved, the individual results of the stress test exercise for banks in the European Union carried out by the Committee of European Banking Supervisors (CEBS) in cooperation with the ECB."
12938,The stress test has also significantly enhanced transparency regarding the current financial conditions and risk exposures of the 91 institutions that participated in the exercise.
12939,"The downward impact of the steep yield curve on monetary growth, which is reflected in the allocation of funds into longer-term deposits and securities outside M3, is gradually waning."
12940,"We expect price stability to be maintained over the medium term, thereby supporting the purchasing power of euro area households."
12941,"The firm anchoring of inflation expectations remains of the essence. 
"
12942,"However, the challenge remains to expand the availability of such credit when demand picks up further."
12943,The challenge remains to expand the availability of such credit when demand picks up further.
12944,This has not so far affected our assessment that price developments will remain in line with price stability over the policy-relevant horizon.
12945,"In particular, banks that currently have limited access to market financing urgently need to increase their capital and their efficiency.
"
12946,"To sum up, based on its regular economic and monetary analyses, the Governing Council decided to keep the key ECB interest rates unchanged following the 25-basis point increase on 7 April 2011."
12947,"Turning to the monetary analysis, the annual growth rate of M3 was 2.0% in April 2011, after 2.3% in March."
12948,The further adjustment of the current accommodative monetary policy stance is warranted in the light of upside risks to price stability.
12949,"Looking at M3 components, the annual growth rate of M1 remained unchanged at 1.2%, whereas growth in other short-term deposits declined to 3.7%."
12950,"As expected, the pace of economic growth in the euro area decelerated in the second quarter, following strong growth in the first quarter."
12951,"Overall, the underlying pace of monetary expansion thus remains moderate.
"
12952,"Owing to their unfavourable effects on financing conditions and confidence, the ongoing tensions in financial markets are likely to dampen the pace of economic growth in the euro area in the second half of this year and beyond."
12953,"On the upside, the main risks relate to further increases in indirect taxes and administered prices, owing to the need for fiscal consolidation in the coming years."
12954,"With regard to the new provisions of the EU economic governance framework that recently came into force, it is crucial that all the elements be implemented rigorously."
12955,"With regard to structural reforms, these are key to increasing the adjustment capacity and competitiveness of euro area countries, thereby strengthening growth prospects and job creation."
12956,"In this respect, the 2012 European Semester should be used to enforce rigorously the reinforced fiscal surveillance mechanism."
12957,"Both prudent fiscal policies and competitive and flexible product and labour markets are of crucial importance for the functioning of the euro area economy. 
"
12958,"In this context, let me make a few remarks on the adjustment process within the euro area."
12959,"Competition should be strengthened in product markets, not least by the completion of the Single Market, and wages should adjust in a flexible manner, reflecting labour market conditions and productivity."
12961,Some progress has also been made in this area.
12962,"Although good progress is being made, the need for structural and fiscal adjustment remains significant in many European countries."
12963,A rapid implementation of the fiscal compact will also play a major role in strengthening confidence in the soundness of public finances.
12964,"The Governing Council takes note of the European Council conclusions on completing Economic and Monetary Union, adopted on 18 October 2012."
12965,Initiatives to accelerate structural reforms that help restore competitiveness are particularly important to revive the growth potential of euro area countries and to increase employment.
12966,"We are now at your disposal for questions.
"
12967,"We are now at your disposal for questions.
"
12968,"While the accommodative monetary policy stance will continue to support the recovery in the euro area, it is essential that fiscal and structural policies strengthen the prospects for economic growth over the medium term."
12970,"In particular, the Governing Council emphasises that the future Single Supervisory Mechanism and a Single Resolution Mechanism are crucial elements for moving towards re-integrating the banking system and therefore require swift implementation.
"
12971,"Structural reforms should, in particular, target competitiveness and adjustment capacities in labour and product markets, thereby helping to generate employment opportunities in an environment of unacceptably high unemployment levels, especially among young workers, prevailing in several countries."
12974,"In order to further reduce imbalances and to foster competitiveness, growth and job creation, euro area countries need to continue with their reform agenda."
12976,"A cross-check with the signals from the monetary analysis confirms this picture. 
"
12977,"As regards fiscal policies, the Governing Council welcomes the European Commission’s assessment of the 2014 draft budgetary plans which were submitted in October for the first time under the “two-pack” regulations."
12978,"Reforms in product and labour markets and a rigorous enactment of Single Market policies warrant particular focus to improve the outlook for economic growth and to foster job creation in an environment of high unemployment. 
"
12979,"We are now at your disposal for questions.
"
12980,The aggregate euro area general government deficit is expected to have declined to 3.2% of GDP in 2013 and is projected to be reduced further to 2.7% of GDP this year.
12982,"At the same time, comprehensive and ambitious structural reforms in product and labour markets are warranted to lift the euro area’s growth potential, improve its adjustment capacity and reduce the high unemployment facing many euro area countries today."
12983,"According to Eurostat’s flash estimate, euro area annual HICP inflation was 0.5% in May 2014, after 0.7% in April."
12984,"Moreover, we announce our commitment to publish regular accounts of the monetary policy meetings, which is intended to start with the January 2015 meeting."
12985,"To restore sound public finances, euro area countries should proceed in line with the Stability and Growth Pact and should not unravel the progress made with fiscal consolidation."
12986,These efforts now clearly need to gain momentum to achieve higher sustainable growth and employment in the euro area.
12987,"And also what about the rating of the ABS you will buy, thinking specifically about those from Greece and Cyprus?
 "
12988,"We are now at your disposal for questions.
"
12989,It is crucial that structural reforms be implemented credibly and effectively as this will raise expectations of higher incomes and encourage firms to increase investment today and bring forward the economic recovery.
12990,"In this context, we will focus in particular on geopolitical developments, exchange rate and energy price developments, and the pass-through of our monetary policy measures. 
"
12991,"Given high structural unemployment and low potential output growth in the euro area, a cyclical recovery along the lines of the March ECB staff projections is no grounds for complacency."
12993,"Full and consistent implementation of the Pact is key for confidence in our fiscal framework.
"
12994,"We are now at your disposal for questions.
 "
12995,"The swift and effective implementation of these reforms, in an environment of accommodative monetary policy, will not only lead to higher sustainable economic growth in the euro area but will also raise expectations of permanently higher incomes and accelerate the benefits of reforms, thereby making the euro area more resilient to global shocks."
12997,"In particular, actions to improve the business environment, including the provision of an adequate public infrastructure, are vital to increase productive investment, boost job creation and raise productivity."
12999,Monetary policy is focused on maintaining price stability over the medium term and its accommodative stance supports economic activity.
13001,Full and consistent implementation of the Stability and Growth Pact over time and across countries is crucial to maintain confidence in the fiscal framework.
13005,"We are now at your disposal for questions.
"
13006,I think last time you indicated this was a high-class problem.
13017,All countries would benefit from intensifying efforts towards achieving a more growth-friendly composition of public finances.
13023,"Likewise, the transparent and consistent implementation of the European Union’s fiscal and economic governance framework over time and across countries remains essential to bolster the resilience of the euro area economy."
13025,"The Governing Council welcomes the ongoing work and urges further specific and decisive steps to complete the banking union and the capital markets union.
"
13027,"The 2019 country-specific recommendations should serve as the relevant signpost. 
"
13029,"Likewise, the transparent and consistent implementation of the European Union’s fiscal and economic governance framework over time and across countries remains essential to bolster the resilience of the euro area economy."
13030,Improving the functioning of Economic and Monetary Union remains a priority.
13031,"Compared with the December 2019 Eurosystem staff macroeconomic projections, the outlook for HICP inflation is broadly unrevised over the projection horizon."
13032,Developments in loans to the private sector have also been shaped by the impact of the coronavirus.
13033,"In this environment, the narrow monetary aggregate M1, encompassing the most liquid forms of money, continues to be the main contributor to broad money growth.
"
13034,Credit standards on loans to firms remained broadly unchanged.
13035,"In this environment, the narrow monetary aggregate M1, encompassing the most liquid forms of money, continues to be the main contributor to broad money growth.
"
13036,"Growth in loans to the private sector continues to benefit from historically low bank lending rates. 
"
13037,"Over the medium term, the recovery of the euro area economy should be supported by favourable financing conditions, an expansionary fiscal stance and a recovery in demand as containment measures are lifted and uncertainty recedes.
"
13038,Developments in loans to the private sector were characterised by moderate lending to non-financial corporations and resilient lending to households.
13039,"On the basis of current oil futures prices, headline inflation is likely to increase in the coming months, but some volatility is expected throughout the year reflecting the changing dynamics of the factors currently pushing inflation up."
13040,"Overall, lending to the private sector remained broadly unchanged."
13041,"This rise was due mainly to a strong increase in energy price inflation, reflecting both sizeable upward base effects as well as month-on-month increases, and, to a lesser extent, a slight increase in non-energy industrial goods inflation."
13042,The recovery of growth and inflation still depends on favourable financing conditions.
13043,Bank lending rates for firms and households are at historically low levels.
13044,"While there was a pick-up in September, lending to firms remains moderate."
13045,"These bottlenecks will still be with us for some time, but they should ease during 2022. 
"
13046,"Banks are now as profitable as they were before the pandemic and their balance sheets remain solid. 
"
13047,"However, it is uncertain how persistent the rise in these indicators will be, given the role of temporary pandemic-related factors and the indirect effects of higher energy prices."
13048,"At the same time, so far there have been no severe strains in money markets, nor liquidity shortages in the euro area banking system. 
"
13049,Job vacancies across many sectors show that there is robust demand for labour.
13050,"A faster deceleration in global growth would also pose a risk to the euro area outlook. 
"
13051,Energy and food costs could also remain persistently higher than expected.
13052,"Against this background, the Governing Council has chosen a distinct monetary policy strategy, one that reflects the special circumstances it faces at present."
13053,We began our preparations a long time ago and I am confident that the ESCB will be in a position to deliver its entire complex infrastructure to the markets by the morning of 4 January 1999.
13054,The operations of the monetary policy of the ESCB will be carried out in a decentralised manner by the participating NCBs.
13055,These developments will be monitored closely.
13056,TARGET has contributed substantially to the integration of the euro money market and it has made possible the consolidation of the treasury management of institutions with different activity centres throughout Europe.
13058,"Against this background, the Governing Council has decided that the multiple rate method of allotment will be applied starting from the next longer-term refinancing operation (to be settled on 25 March 1999), until otherwise indicated. 
"
13062,"In countries where one of these days is not a public holiday, the national central bank will endeavour to close the national RTGS system on the day in question or, when this is not possible, will seek to limit domestic payment activity as much as possible. 
"
13063,"In the area of TARGET, as well as in the area of monetary policy implementation and liquidity management, we are also reviewing our contingency procedures to minimise any potential Year 2000-related impact."
13064,"It will provide the opportunity to strengthen the working relationships between the Eurosystem and the central banks of accession countries and to deepen the dialogue between the two sides. 
"
13065,"As announced yesterday, the meeting has been brought forward from Thursday, 16 December 1999, to Wednesday, 15 December 1999, in order to enable several Governing Council members to attend a first gathering of a new forum consisting of ministers of finance and central bank governors (the so-called ""G20""), which is to be held in Berlin on 16 December 1999. 
"
13066,"At its meeting on 18 November 1999 the Governing Council approved the publication of an update of the book on ""European Union balance of payments statistical methods"" (the ""B.o.p. Book"")."
13070,"Intermediate regimes, such as adjustable pegs, may suit the needs of emerging market economies, depending on their specific domestic and external conditions. 
"
13071,"This decision is in line with the general policy towards increased transparency in the decision-making process currently being pursued at the Community level. 
"
13073,"Finally, let me draw your attention to the calendar for meetings of the Governing Council and General Council in 2001."
13075,The scheme will apply whenever the same-day processing of payment orders within TARGET cannot be completed.
13077,"Nous sommes une équipe qui comprend le président de l'équipe, Wim Duisenberg, président de la Banque centrale européenne, et président de l'Eurosystème, et l'Eurosystème c'est l'équipe, c'est la Banque centrale européenne et les onze banques centrales nationales, et demain les douze banques centrales nationales."
13079,"Second, in connection with the Bank of Greece's entry into the Eurosystem, the Governing Council adopted several legal instruments on the transfer of foreign reserves from the Bank of Greece to the ECB, the crediting to the Bank of Greece of a corresponding claim on the ECB and the contribution to the capital, reserves and provisions of the ECB by the Bank of Greece."
13080,"These sections will be updated throughout the year. 
"
13082,Duisenberg:
13083,"I should also like to remind you that comprehensive information related to the introduction of the euro banknotes and coins can be obtained in all 11 official Community languages from the Euro 2002 Information Campaign website (http://www.euro.ecb.int). 
"
13086,"During the last quarter of 2000 and the first quarter of 2001 you underestimated the slowdown in the United States and its impact on the euro zone, just as the governments did."
13089,"Obviously, if warranted by the circumstances, the Governing Council can still decide to change the key ECB interest rates at any time, regardless of previously scheduled meetings (as was recently demonstrated by the decision to lower interest rates on 17 September 2001). 
"
13090,"First, I should like to mention that tomorrow the third seminar with high-ranking officials from the central banks of the EU accession countries will be held in Berlin."
13101,"Therefore, sound fiscal positions, as enshrined in the Treaty and further developed in the Stability and Growth Pact, are in the interest of all the Member States."
13106,Renewed momentum in the process of structural reform will be important to foster consumer and investor confidence in medium and long-term growth and employment opportunities in the euro area.
13107,This can only be achieved by appropriate structural measures that address fundamental weaknesses and tackle urgent adjustment requirements.
13110,"Their purpose is to inform the media and the general public in detail, and on an almost ""real-time"" basis, about the outcome of Governing Council meetings."
13111,"The Governing Council strongly supports current efforts by a number of governments in this direction and also encourages social partners to fully commit themselves to the objective of making the euro area a more dynamic and innovative economy. 
"
13112,"Enhancing the competitiveness of the euro area, in particular in labour and product markets, increasing the efficiency of the tax systems and ensuring the sustainability of social security schemes all foster a better allocation and utilisation of capital and human resources."
13114,"Finally, allow me to add a short remark regarding the publications of the ECB."
13115,"Moreover, the determined implementation of comprehensive structural reforms, on both the expenditure side and the revenue side, will bring additional medium-term rewards in the form of higher growth and more sustainable public finances."
13117,"The Governing Council welcomes the decision by the Commission to request more consolidation efforts from a number of countries.
"
13118,"Finally, there has been an increase in measures of long-term inflation expectations derived from financial market indicators."
13119,"In the view of the Governing Council, the Stability and Growth Pact should not be changed, even though its implementation within the current framework could be improved further. 
"
13120,"In addition, the low level of interest rates continues to support monetary expansion, especially of the most liquid assets included in the narrow aggregate M1. 
"
13121,"Member States need to renew their consolidation efforts and should not rely on one-off measures, so as to comply with their commitments under the Stability and Growth Pact and to foster confidence."
13122,"Moreover, strict surveillance and effective peer pressure on national budget policies are indispensable to preserving sound fiscal policies.
"
13123,"Concerning the European institutional framework, the Stability and Growth Pact and the excessive deficit procedure are the key fiscal cornerstones of EMU."
13125,"Closing the existing implementation gap is essential in order to reap the benefits of reforms, in terms of both a higher growth potential in the medium term and improved consumer and business confidence in the short run.
"
13126,"In addition, in some cases, fiscal targets are based on rather favourable growth assumptions and on insufficiently specified measures.
"
13129,"We are now at your disposal for questions.
"
13131,"Progress at both the Community and the Member State level is crucial to addressing the economic challenges facing the EU. 
"
13132,This would help to support confidence within the euro area by strengthening expectations of sustainable and growth-friendly public finances and by enhancing the credibility of the reformed Stability and Growth Pact.
13133,"We are now at your disposal for questions.
"
13134,Plans to foster sound public finances and to undertake fiscal reforms that boost economic growth and prepare for the challenges related to population ageing in some countries are welcome.
13137,"Moreover, better education and training are important for the development of human capital."
13140,"In terms of structural reforms, the Governing Council reiterates its call for the implementation of firm measures to ensure open, competitive and well-functioning product and labour markets, so as to foster an attractive environment for investment and innovation and to promote flexibility in wages and prices."
13142,"In order to fully reap the advantages of the euro and to allow adjustment mechanisms to operate efficiently within the enlarged currency area, it will be necessary to fully integrate Slovenia into Economic and Monetary Union, which calls for all remaining barriers to be removed, including those related to labour mobility."
13143,"This is the best contribution that fiscal policies can make towards building confidence in the outlook for growth and stability in the euro area and in the revised Stability and Growth Pact.
"
13144,These are urgently needed to help to cushion the unfavourable economic effects of the projected demographic change in the euro area.
13145,It is essential that budgetary consolidation is strengthened in the current economic upswing and that pro-cyclical policies are avoided.
13146,It is essential that inflation expectations remain firmly anchored at levels consistent with price stability.
13147,"While these programmes generally indicate that governments plan to proceed towards sound budgetary positions, there are also indications that budget targets do not consistently imply sufficient consolidation and that concrete and credible measures have not yet been specified in all programmes."
13148,"As regards fiscal policy, first indications confirm that fiscal developments in the euro area were relatively favourable in 2006 on the back of strong output growth and revenue windfalls."
13149,The relevant horizon for monetary policy is the medium term.
13150,"Therefore, looking ahead, acting in a firm and timely manner to ensure price stability in the medium term remains warranted. 
"
13151,"This would allow euro area countries to prepare themselves for less favourable economic conditions.
"
13152,"For example, increases in short-term rates have contributed to a more moderate expansion of the narrow aggregate, M1, in recent quarters."
13153,"Accordingly, the Governing Council will monitor closely all developments in order to ensure that risks to price stability over the medium term do not materialise and medium to longer-term inflation expectations in the euro area remain solidly anchored at levels consistent with price stability."
13154,"However, as has been demonstrated in the past, an in-depth and comprehensive analysis of the monetary data can help in our understanding of the impact of financial developments on monetary developments and to extract the policy-relevant signal in monetary growth with regard to longer-term inflationary trends."
13155,"Turning to fiscal policy, the Governing Council is increasingly concerned about a weakening in structural fiscal consolidation efforts and the delaying of decisive action to address fiscal imbalances."
13156,"As regards the financial markets, we will continue to pay great attention to developments over the period to come.
"
13157,"However, even taking these special factors into account, the underlying rate of monetary expansion remains strong."
13158,"To sum up, a cross-check of the outcome of the economic analysis with that of the monetary analysis fully confirms the assessment that there are upside risks to price stability over the medium term, in a context of very vigorous money and credit growth and sound economic fundamentals in the euro area."
13159,It is paramount that medium and long-term inflation expectations remain firmly anchored in line with price stability.
13160,A number of temporary factors suggest that M3 growth currently overstates the pace of the underlying monetary expansion.
13161,"For the time being, there is little evidence that the financial market turbulence seen since early August 2007 has strongly influenced the overall dynamics of broad money and credit aggregates."
13162,"The growth of household borrowing has moderated over recent months, reflecting the impact of higher short-term interest rates and cooling housing markets in several parts of the euro area."
13163,It is also a strong concern that price and wage-setting behaviour could add to inflationary pressures.
13164,"At the same time, higher short-term interest rates have served to moderate the growth of household borrowing, although cooling housing markets in several parts of the euro area have also played a substantial role in this regard."
13165,"Overall, a broad-based analysis of the data, taking the appropriate medium-term perspective, confirms the underlying strength of money growth.
"
13166,"Not least in the face of the ongoing tensions in financial markets, the monetary analysis helps to support the necessary medium-term orientation of monetary policy by focusing attention on the upside risks to price stability prevailing at medium to longer horizons."
13167,"The most recent data clearly confirm that economic activity in the euro area is weakening, with contracting domestic demand and tighter financing conditions."
13168,The level of uncertainty stemming from financial market developments remains extraordinarily high and exceptional challenges lie ahead.
13169,"At the same time, for the euro area as a whole, there were no significant indications of a drying up in the availability of loans."
13170,"More data and further analysis are necessary to form a robust judgement about the severity and scope of credit constraints and their possible implications for economic activity. 
"
13171,"Fully in line with its primary objective, the Governing Council will continue to keep inflation expectations firmly anchored in accordance with its definition of price stability, that is inflation rates of below, but close to, 2% over the medium term."
13172,"To sum up, inflation rates have decreased significantly and are now expected to remain well below 2% over 2009 and 2010."
13173,"This is essential to maintain the public’s trust in the sustainability of public finances, which is important both for the economy to recover and for supporting long-term growth."
13174,"Overall, the latest money and credit data support the assessment that both banks and money-holding sectors are reducing their highly leveraged positions built up in past years.
"
13175,We confirmed our expectation that price developments over the policy-relevant horizon will remain dampened by the marked weakening of economic activity in the euro area and globally.
13176,"Against this background, we expect the current episode of extremely low or negative inflation rates to be short-lived and price stability to be maintained over the medium term, thereby continuing to support the purchasing power of euro area households. 
"
13177,"A cross-check of the outcome of the economic analysis with that of the monetary analysis confirms the assessment of low inflationary pressure, as money and credit expansion continues to decelerate."
13178,The fall in production and trade and the ongoing uncertainty in the business outlook are likely to have dampened firms’ demand for financing.
13179,"Cross-checking the outcome of the economic analysis with that of the monetary analysis confirms the assessment of low inflationary pressure over the medium term, as money and credit expansion continues to moderate."
13180,"Looking ahead, and taking into account the improved conditions in financial markets, not all our liquidity measures will be needed to the same extent as in the past."
13181,The annual growth rate of bank loans to the non-financial private sector turned somewhat more negative in October.
13182,"Overall, the Governing Council expects the euro area economy to grow at a moderate pace in 2010, recognising that the recovery process is likely to be uneven and that the outlook remains subject to uncertainty."
13183,"All in all, we expect price stability to be maintained over the medium term, thereby supporting the purchasing power of euro area households."
13184,"Banks have continued to reduce the size of their overall balance sheets over the past few months, but the challenge remains for them to manage this adjustment while ensuring the availability of credit to the non-financial sector."
13185,"Fiscal consolidation will need to exceed substantially the annual structural adjustment of 0.5% of GDP set as a minimum requirement by the Stability and Growth Pact, and there is a need to fully define and implement credible fiscal adjustment strategies."
13186,"Taking into account all new information since our meeting on 8 April 2010, we expect price developments to remain moderate over the policy-relevant horizon."
13187,The still weak annual growth rate of bank loans to the private sector conceals the fact that monthly flows have now been positive for a number of months.
13188,Appropriate action will have to be taken where needed.
13189,"Hence, the exercise represents an important step forward in restoring market confidence.
"
13190,"Moreover, the impact of the narrow spreads between different short-term interest rates on the growth of the components of M3 is continuing to diminish."
13191,"Inflation expectations remain firmly anchored in line with our aim of keeping inflation rates below, but close to, 2% over the medium term."
13192,"Turning to fiscal policies, there is a clear need to strengthen public confidence in the capacity of governments to return to sustainable public finances, reduce risk premia in interest rates and thus support sustainable growth over the medium term."
13193,"To address this challenge, where necessary, it is essential for banks to retain earnings, to turn to the market to strengthen further their capital bases or to take full advantage of government support measures for recapitalisation. 
"
13194,"To address this challenge, where necessary, it is essential for banks to retain earnings, to turn to the market to strengthen further their capital bases or to take full advantage of government support measures for recapitalisation. 
"
13195,"At the same time, very close monitoring is warranted."
13196,"To sum up, the Governing Council decided to increase the key ECB interest rates by 25 basis points."
13197,The information that has become available since then confirms our assessment that an adjustment of the very accommodative monetary policy stance was warranted.
13198,"Looking through the recent volatility in broad money growth, M3 growth has continued to edge up over recent months."
13199,"A cross-check of the outcome of the economic analysis with that of the monetary analysis indicates that the underlying pace of monetary expansion is continuing to gradually recover, while monetary liquidity remains ample with the potential to accommodate price pressures in the euro area."
13200,The growth differentials continue to reflect in part the gradual increase in the remuneration of short-term time and savings deposits over recent months.
